"%s弯曲","%sBend"
"影响对象","Affect Object"
"从活动骨骼创建中间骨骼","Create a metarig from the active rig"
"Rigify中间骨骼","Rigify Metarig"
"将中间骨骼转换为Rigify","Convert metarig to rigify"
"%s.01_ik.%s","%s.01_ik.%s"
"视线骨骼跟随头部骨骼旋转","The gaze bone follows the head bone rotations"
"左视线","Gaze Left"
"眼睛追踪左视线骨骼量","eye tracking the left gaze bone amount"
"右视线","Gaze Right"
"眼睛追踪右视线骨骼量","eye tracking the right gaze bone amount"
"舌骨由IK控制","Tongue bones controlled by IK"
"扫描活动网格","Scan Active Mesh"
"仅扫描活动网格的变形","Only scan morphs for active mesh"
"Genesis","Genesis"
"扫描Genesis","Scan Genesis"
"Genesis 2女性","Genesis 2 Female"
"扫描Genesis 2女性","Scan Genesis 2 female"
"Genesis 2男性","Genesis 2 Male"
"扫描Genesis 2男性","Scan Genesis 2 male"
"Genesis 3女性","Genesis 3 Female"
"扫描Genesis 3女性","Scan Genesis 3 female"
"Genesis 3男性","Genesis 3 Male"
"扫描Genesis 3男性","Scan Genesis 3 male"
"Genesis 8女性","Genesis 8 Female"
"扫描Genesis 8女性","Scan Genesis 8 female"
"Genesis 8男性","Genesis 8 Male"
"扫描Genesis 8男性","Scan Genesis 8 male"
"Genesis 8.1女性","Genesis 8.1 Female"
"扫描Genesis 8.1女性","Scan Genesis 8.1 female"
"Genesis 8.1男性","Genesis 8.1 Male"
"扫描Genesis 8.1男性","Scan Genesis 8.1 male"
"Genesis 9","Genesis 9"
"扫描Genesis 9","Scan Genesis 9"
"扫描变形数据库","Scan Morph Database"
"扫描DAZ数据库以获取当前网格的变形，并构建数据库","Scan the DAZ database\nfor morphs for the present mesh,\nand build a database"
"检查数据库更新","Check Database For Updates"
"所有角色","All Characters"
"扫描所有角色类型的变形数据库","Scan morph database for all character types"
"将姿势保存到文件","Save Poses To File"
"将当前场景姿势保存为json文件","Save the current scene poses as a json file"
"场景名称","Scene Name"
"保存场景的文件名","Name of the file to save the scene in"
"覆盖同名现有动作","Overwrite existing action with the same name"
"骨骼","Armatures"
"保存骨骼的动作","Save action for armatures"
"保存网格的动作","Save action for meshes"
"空物体","Empties"
"保存空物体的动作","Save action for empties"
"相机","Cameras"
"保存相机的动作","Save action for cameras"
"灯光","Lights"
"保存灯光的动作","Save action for lights"
"从文件加载姿势","Load Poses From File"
"从json文件加载所有对象的姿势","Load poses for all objects from json file"
"文件","File"
"包含场景的文件名","Name of the file containing the scene"
"从活动网格转移顶点组到选定网格","Transfer vertex groups from active to selected"
"按编号复制顶点组","Copy Vertex Groups By Number"
"按顶点数从活动网格复制顶点组到选定网格","Copy vertex groups from active to selected meshes with the same number of vertices"
"从活动网格转移形状键到选定网格","Transfer shapekeys from active mesh to selected meshes"
"转移方法","Transfer Method"
"用于转移变形的方法","Method used to transfer morphs"
"转移驱动","Transfer Drivers"
"转移形状键和驱动","Transfer both shapekeys and drivers"
"强度倍增","Strength Multiplier"
"为驱动添加强度倍增器","Add a strength multiplier to drivers"
"使用供应商变形","Use Vendor Morphs"
"使用供应商提供的自定义变形，否则始终自动转移变形","Use customized morphs provided by vendor,\notherwise always auto-transfer morphs"
"覆盖现有形状键","Overwrite Existing Shapekeys"
"覆盖现有形状键或创建新形状键","Overwrite existing shapekeys or create new ones"
"仅选定顶点","Selected Verts Only"
"仅复制到选定顶点","Only copy to selected vertices"
"忽略刚度组","Ignore Rigidity Groups"
"在自动转移变形时忽略刚度组。变形可能与DAZ Studio不同","Ignore rigidity groups when auto-transfer morphs.\nMorphs may differ from DAZ Studio."
"仅顶点组","Only Vertex Groups"
"仅转移由顶点组驱动的形状键。由滑块驱动的变形始终被转移","Only transfer shapekeys driven by bones with vertex groups.\nMorphs driven by sliders are always transferred"
"应用所有形状键","Apply All Shapekeys"
"将所有形状键应用到选定网格","Apply all shapekeys to selected meshes"
"混合形状键","Mix Shapekeys"
"混合形状键","Mix shapekeys"
"形状键1","Shapekey 1"
"第一个形状键","First shapekey"
"形状键2","Shapekey 2"
"第二个形状键","Second shapekey"
"系数1","Factor 1"
"第一个系数","First factor"
"系数2","Factor 2"
"第二个系数","Second factor"
"混合所有相似的","Mix All Similar"
"混合所有名称相似的形状键","Mix all shapekeys with similar names"
"覆盖第一个","Overwrite First"
"覆盖第一个形状键","Overwrite the first shapekey"
"删除合并","Delete Merged"
"合并后删除未使用的形状键","Delete unused shapekeys after merge"
"新形状键","New shapekey"
"新形状键的名称","Name of new shapekey"
"过滤器1","Filter 1"
"过滤器2","Filter 2"
"第一个","First"
"第二个","Second"
"系数","Factor"
"形状键","Shapekey"
"修剪顶点组","Prune Vertex Groups"
"移除权重低于阈值的顶点和组","Remove vertices and groups with weights below threshold"
"制作UDIM材质","Make UDIM Materials"
"将选定网格的材质合并为单个UDIM材质","Combine materials of selected mesh into a single UDIM material"
"活动","Active"
"修复UV平铺","Fix UV tiles"
"合并材质而不仅仅是纹理。如果开启，可能会丢失一些信息。如果关闭，必须之后调用合并材质","Merge materials and not only textures.\nIf on, some info may be lost.\nIf off, Merge Materials must be called afterwards"
"要合并的材质","Materials To Merge"
"T_%s","T_%s"
"设置UDIM平铺","Set UDIM Tile"
"将选定材质的所有UV坐标移动到指定的UV平铺","Move all UV coordinates of selected materials to specified UV tile"
"更新滚动条","Update Scrollbars"
"更新所有滚动条","Update all scrollbars"
"DAZ_UL_Custom_%s","DAZ_UL_Custom_%s"
"DAZ_UL_Shape_%s","DAZ_UL_Shape_%s"
"%s(完成)","%s(fin)"
"%s(驱动)","%s(drv)"
"",""
